id;advocate;biography;birthdate;firstname;lastname;oabnumber;phone;created_at;picture;picture_content_type
1;false;../fake-data/blob/hipster.txt;2021-05-25;payment Norte Dollar;Genérico;parse compressing;(39) 23389-9353;2021-05-25;../fake-data/blob/hipster.png;image/png
2;true;../fake-data/blob/hipster.txt;2021-05-25;e-markets;à iterate PNG;Account;(44) 7508-3889;2021-05-25;../fake-data/blob/hipster.png;image/png
3;false;../fake-data/blob/hipster.txt;2021-05-25;morph index;Cambridgeshire Customer-focused;Associate Taiwan;(12) 3574-4118;2021-05-25;../fake-data/blob/hipster.png;image/png
4;false;../fake-data/blob/hipster.txt;2021-05-25;paradigms transitional Multi-layered;parsing cinza copying;encoding Canadá;+55 (94) 9912-2671;2021-05-25;../fake-data/blob/hipster.png;image/png
5;true;../fake-data/blob/hipster.txt;2021-05-24;neural Product Avon;Pequeno;Automotivo Incrível Bola;(13) 9353-5127;2021-05-24;../fake-data/blob/hipster.png;image/png
6;false;../fake-data/blob/hipster.txt;2021-05-25;Cambridgeshire Algodão;wireless COM Licenciado;Supervisor Account Branding;(60) 0076-4994;2021-05-25;../fake-data/blob/hipster.png;image/png
7;false;../fake-data/blob/hipster.txt;2021-05-25;Account;copying viral bandwidth;invoice cohesive;+55 (53) 1865-4518;2021-05-25;../fake-data/blob/hipster.png;image/png
8;true;../fake-data/blob/hipster.txt;2021-05-24;index;e-business Loan;Sapatos;(71) 97667-6317;2021-05-25;../fake-data/blob/hipster.png;image/png
9;false;../fake-data/blob/hipster.txt;2021-05-25;Kina revolutionary bus;drive;Rio México;+55 (54) 8518-6649;2021-05-25;../fake-data/blob/hipster.png;image/png
10;true;../fake-data/blob/hipster.txt;2021-05-25;next;Mercearia;SMS;(74) 45438-2144;2021-05-25;../fake-data/blob/hipster.png;image/png
